ROW_NUM,YM,CTRD_NM,CTRD_CODE,LVSTCKSPC_NM,LVSTCKSPC_CODE,THSMON,THSMON_ACMTL
13275,202509,대구,6270000,돼지,LBI1000006,25423,45294
13332,202509,제주,6500000,면양,LBI1000086,2,2
13333,202509,제주,6500000,산양,LBI1000087,38,91
13334,202509,제주,6500000,닭,LBI1000088,599115,1097406
13330,202509,제주,6500000,사슴,LBI1000017,3,3
13299,202509,충북,6430000,소,LBI1000080,23314,38752
13286,202509,울산,6310000,소,LBI1000080,1070,1617
13301,202509,충북,6430000,산양,LBI1000087,2723,5742
13316,202509,전남,6460000,산양,LBI1000087,3539,7623
13302,202509,충북,6430000,닭,LBI1000088,7354179,14285727
13328,202509,제주,6500000,돼지,LBI1000006,80580,146399
13327,202509,경남,6480000,닭,LBI1000088,288513,575166
13326,202509,경남,6480000,산양,LBI1000087,1153,1967
13325,202509,경남,6480000,소,LBI1000080,23051,36965
13324,202509,경남,6480000,오리,LBI1000016,62999,226438
13323,202509,경남,6480000,돼지,LBI1000006,179446,328531
13322,202509,경북,6470000,닭,LBI1000088,7402569,15459783
